"county","datayear","totalpopulation"
"Adams",2010,443711
"Adams",2011,451749
"Adams",2012,460064
"Adams",2013,469477
"Adams",2014,479777
"Adams",2015,489923
"Adams",2016,497673
"Adams",2017,268764
"Adams",2018,268764
"Adams",2019,268764
"Alamosa",2010,15474
"Alamosa",2011,15679
"Alamosa",2012,15687
"Alamosa",2013,15804
"Alamosa",2014,15845
"Alamosa",2015,15968
"Alamosa",2016,16131
"Alamosa",2017,268764
"Alamosa",2018,268764
"Alamosa",2019,268764
"Arapahoe",2010,574819
"Arapahoe",2011,585507
"Arapahoe",2012,595776
"Arapahoe",2013,607145
"Arapahoe",2014,617936
"Arapahoe",2015,629066
"Arapahoe",2016,637254
"Arapahoe",2017,268764
"Arapahoe",2018,268764
"Arapahoe",2019,268764
"Archuleta",2010,12060
"Archuleta",2011,12003
"Archuleta",2012,12109
"Archuleta",2013,12211
"Archuleta",2014,12258
"Archuleta",2015,12417
"Archuleta",2016,12907
"Archuleta",2017,268764
"Archuleta",2018,268764
"Archuleta",2019,268764
"Baca",2010,3795
"Baca",2011,3799
"Baca",2012,3746
"Baca",2013,3679
"Baca",2014,3624
"Baca",2015,3594
"Baca",2016,3557
"Baca",2017,268764
"Baca",2018,268764
"Baca",2019,268764
"Bent",2010,6506
"Bent",2011,6304
"Bent",2012,5778
"Bent",2013,5708
"Bent",2014,5747
"Bent",2015,5847
"Bent",2016,5626
"Bent",2017,268764
"Bent",2018,268764
"Bent",2019,268764
"Boulder",2010,295605
"Boulder",2011,300171
"Boulder",2012,305016
"Boulder",2013,309971
"Boulder",2014,313190
"Boulder",2015,318570
"Boulder",2016,321989
"Boulder",2017,268764
"Boulder",2018,268764
"Boulder",2019,268764
"Broomfield",2010,56107
"Broomfield",2011,57211
"Broomfield",2012,58715
"Broomfield",2013,59975
"Broomfield",2014,61554
"Broomfield",2015,64656
"Broomfield",2016,66252
"Broomfield",2017,268764
"Broomfield",2018,268764
"Broomfield",2019,268764
"Chaffee",2010,17797
"Chaffee",2011,18012
"Chaffee",2012,18123
"Chaffee",2013,18281
"Chaffee",2014,18459
"Chaffee",2015,18603
"Chaffee",2016,19097
"Chaffee",2017,268764
"Chaffee",2018,268764
"Chaffee",2019,268764
"Cheyenne",2010,1834
"Cheyenne",2011,1864
"Cheyenne",2012,1875
"Cheyenne",2013,1889
"Cheyenne",2014,1847
"Cheyenne",2015,1830
"Cheyenne",2016,1853
"Cheyenne",2017,268764
"Cheyenne",2018,268764
"Cheyenne",2019,268764
"Clear Creek",2010,9155
"Clear Creek",2011,9070
"Clear Creek",2012,9103
"Clear Creek",2013,9095
"Clear Creek",2014,9210
"Clear Creek",2015,9392
"Clear Creek",2016,9443
"Clear Creek",2017,268764
"Clear Creek",2018,268764
"Clear Creek",2019,268764
"Conejos",2010,8282
"Conejos",2011,8282
"Conejos",2012,8246
"Conejos",2013,8229
"Conejos",2014,8246
"Conejos",2015,8074
"Conejos",2016,8039
"Conejos",2017,268764
"Conejos",2018,268764
"Conejos",2019,268764
"Costilla",2010,3532
"Costilla",2011,3647
"Costilla",2012,3601
"Costilla",2013,3537
"Costilla",2014,3560
"Costilla",2015,3572
"Costilla",2016,3707
"Costilla",2017,268764
"Costilla",2018,268764
"Costilla",2019,268764
"Crowley",2010,5838
"Crowley",2011,5817
"Crowley",2012,5376
"Crowley",2013,5278
"Crowley",2014,5550
"Crowley",2015,5569
"Crowley",2016,5214
"Crowley",2017,268764
"Crowley",2018,268764
"Crowley",2019,268764
"Custer",2010,4272
"Custer",2011,4227
"Custer",2012,4241
"Custer",2013,4287
"Custer",2014,4368
"Custer",2015,4457
"Custer",2016,4617
"Custer",2017,268764
"Custer",2018,268764
"Custer",2019,268764
"Delta",2010,30889
"Delta",2011,30370
"Delta",2012,30461
"Delta",2013,30322
"Delta",2014,29988
"Delta",2015,29973
"Delta",2016,30471
"Delta",2017,268764
"Delta",2018,268764
"Delta",2019,268764
"Denver",2010,604879
"Denver",2011,620684
"Denver",2012,634471
"Denver",2013,648162
"Denver",2014,662855
"Denver",2015,680658
"Denver",2016,693292
"Denver",2017,268764
"Denver",2018,268764
"Denver",2019,268764
"Dolores",2010,2060
"Dolores",2011,2025
"Dolores",2012,1990
"Dolores",2013,2021
"Dolores",2014,1965
"Dolores",2015,1972
"Dolores",2016,2035
"Dolores",2017,268764
"Dolores",2018,268764
"Dolores",2019,268764
"Douglas",2010,287124
"Douglas",2011,292478
"Douglas",2012,298638
"Douglas",2013,306627
"Douglas",2014,314804
"Douglas",2015,322198
"Douglas",2016,328330
"Douglas",2017,268764
"Douglas",2018,268764
"Douglas",2019,268764
"Eagle",2010,52057
"Eagle",2011,51649
"Eagle",2012,51849
"Eagle",2013,52334
"Eagle",2014,52761
"Eagle",2015,53320
"Eagle",2016,53928
"Eagle",2017,268764
"Eagle",2018,268764
"Eagle",2019,268764
"El Paso",2010,627232
"El Paso",2011,638289
"El Paso",2012,647446
"El Paso",2013,656981
"El Paso",2014,665052
"El Paso",2015,676178
"El Paso",2016,690207
"El Paso",2017,268764
"El Paso",2018,268764
"El Paso",2019,268764
"Elbert",2010,23107
"Elbert",2011,23213
"Elbert",2012,23371
"Elbert",2013,23632
"Elbert",2014,24093
"Elbert",2015,24640
"Elbert",2016,25169
"Elbert",2017,268764
"Elbert",2018,268764
"Elbert",2019,268764
"Fremont",2010,46854
"Fremont",2011,47406
"Fremont",2012,47075
"Fremont",2013,46441
"Fremont",2014,46389
"Fremont",2015,46659
"Fremont",2016,47487
"Fremont",2017,268764
"Fremont",2018,268764
"Fremont",2019,268764
"Garfield",2010,56150
"Garfield",2011,56005
"Garfield",2012,56770
"Garfield",2013,56947
"Garfield",2014,57260
"Garfield",2015,57779
"Garfield",2016,58984
"Garfield",2017,268764
"Garfield",2018,268764
"Garfield",2019,268764
"Gilpin",2010,5463
"Gilpin",2011,5448
"Gilpin",2012,5457
"Gilpin",2013,5571
"Gilpin",2014,5769
"Gilpin",2015,5824
"Gilpin",2016,5926
"Gilpin",2017,268764
"Gilpin",2018,268764
"Gilpin",2019,268764
"Grand",2010,14790
"Grand",2011,14548
"Grand",2012,14157
"Grand",2013,14271
"Grand",2014,14451
"Grand",2015,14602
"Grand",2016,15039
"Grand",2017,268764
"Grand",2018,268764
"Grand",2019,268764
"Gunnison",2010,15309
"Gunnison",2011,15269
"Gunnison",2012,15384
"Gunnison",2013,15591
"Gunnison",2014,15767
"Gunnison",2015,16097
"Gunnison",2016,16394
"Gunnison",2017,268764
"Gunnison",2018,268764
"Gunnison",2019,268764
"Hinsdale",2010,843
"Hinsdale",2011,824
"Hinsdale",2012,795
"Hinsdale",2013,804
"Hinsdale",2014,774
"Hinsdale",2015,767
"Hinsdale",2016,775
"Hinsdale",2017,268764
"Hinsdale",2018,268764
"Hinsdale",2019,268764
"Huerfano",2010,6655
"Huerfano",2011,6504
"Huerfano",2012,6563
"Huerfano",2013,6470
"Huerfano",2014,6395
"Huerfano",2015,6456
"Huerfano",2016,6642
"Huerfano",2017,268764
"Huerfano",2018,268764
"Huerfano",2019,268764
"Jackson",2010,1387
"Jackson",2011,1372
"Jackson",2012,1338
"Jackson",2013,1353
"Jackson",2014,1389
"Jackson",2015,1353
"Jackson",2016,1351
"Jackson",2017,268764
"Jackson",2018,268764
"Jackson",2019,268764
"Jefferson",2010,535651
"Jefferson",2011,539721
"Jefferson",2012,545880
"Jefferson",2013,551411
"Jefferson",2014,558610
"Jefferson",2015,564619
"Jefferson",2016,571711
"Jefferson",2017,268764
"Jefferson",2018,268764
"Jefferson",2019,268764
"Kiowa",2010,1399
"Kiowa",2011,1445
"Kiowa",2012,1425
"Kiowa",2013,1404
"Kiowa",2014,1394
"Kiowa",2015,1396
"Kiowa",2016,1347
"Kiowa",2017,268764
"Kiowa",2018,268764
"Kiowa",2019,268764
"Kit Carson",2010,8267
"Kit Carson",2011,8181
"Kit Carson",2012,8088
"Kit Carson",2013,8269
"Kit Carson",2014,8039
"Kit Carson",2015,8219
"Kit Carson",2016,7639
"Kit Carson",2017,268764
"Kit Carson",2018,268764
"Kit Carson",2019,268764
"La Plata",2010,51441
"La Plata",2011,51866
"La Plata",2012,52457
"La Plata",2013,53405
"La Plata",2014,53978
"La Plata",2015,54857
"La Plata",2016,55697
"La Plata",2017,268764
"La Plata",2018,268764
"La Plata",2019,268764
"Lake",2010,7282
"Lake",2011,7382
"Lake",2012,7291
"Lake",2013,7317
"Lake",2014,7370
"Lake",2015,7502
"Lake",2016,7595
"Lake",2017,268764
"Lake",2018,268764
"Lake",2019,268764
"Larimer",2010,300532
"Larimer",2011,305078
"Larimer",2012,310717
"Larimer",2013,316284
"Larimer",2014,324105
"Larimer",2015,332830
"Larimer",2016,338663
"Larimer",2017,268764
"Larimer",2018,268764
"Larimer",2019,268764
"Las Animas",2010,15407
"Las Animas",2011,15045
"Las Animas",2012,14966
"Las Animas",2013,14378
"Las Animas",2014,14078
"Las Animas",2015,14061
"Las Animas",2016,14082
"Las Animas",2017,268764
"Las Animas",2018,268764
"Las Animas",2019,268764
"Lincoln",2010,5474
"Lincoln",2011,5397
"Lincoln",2012,5438
"Lincoln",2013,5414
"Lincoln",2014,5509
"Lincoln",2015,5549
"Lincoln",2016,5554
"Lincoln",2017,268764
"Lincoln",2018,268764
"Lincoln",2019,268764
"Logan",2010,22293
"Logan",2011,22254
"Logan",2012,22003
"Logan",2013,21809
"Logan",2014,22099
"Logan",2015,22122
"Logan",2016,22047
"Logan",2017,268764
"Logan",2018,268764
"Logan",2019,268764
"Mesa",2010,147155
"Mesa",2011,148108
"Mesa",2012,148291
"Mesa",2013,148232
"Mesa",2014,148250
"Mesa",2015,149023
"Mesa",2016,150731
"Mesa",2017,268764
"Mesa",2018,268764
"Mesa",2019,268764
"Mineral",2010,705
"Mineral",2011,706
"Mineral",2012,706
"Mineral",2013,727
"Mineral",2014,696
"Mineral",2015,729
"Mineral",2016,737
"Mineral",2017,268764
"Mineral",2018,268764
"Mineral",2019,268764
"Moffat",2010,13806
"Moffat",2011,13402
"Moffat",2012,13135
"Moffat",2013,13080
"Moffat",2014,12866
"Moffat",2015,12884
"Moffat",2016,13088
"Moffat",2017,268764
"Moffat",2018,268764
"Moffat",2019,268764
"Montezuma",2010,25532
"Montezuma",2011,25463
"Montezuma",2012,25441
"Montezuma",2013,25660
"Montezuma",2014,25806
"Montezuma",2015,26129
"Montezuma",2016,26906
"Montezuma",2017,268764
"Montezuma",2018,268764
"Montezuma",2019,268764
"Montrose",2010,41188
"Montrose",2011,40894
"Montrose",2012,40691
"Montrose",2013,40674
"Montrose",2014,40769
"Montrose",2015,40795
"Montrose",2016,41421
"Montrose",2017,268764
"Montrose",2018,268764
"Montrose",2019,268764
"Morgan",2010,28196
"Morgan",2011,28434
"Morgan",2012,28241
"Morgan",2013,28219
"Morgan",2014,28127
"Morgan",2015,28230
"Morgan",2016,28148
"Morgan",2017,268764
"Morgan",2018,268764
"Morgan",2019,268764
"Otero",2010,18838
"Otero",2011,18831
"Otero",2012,18660
"Otero",2013,18505
"Otero",2014,18398
"Otero",2015,18265
"Otero",2016,18290
"Otero",2017,268764
"Otero",2018,268764
"Otero",2019,268764
"Ouray",2010,4446
"Ouray",2011,4422
"Ouray",2012,4510
"Ouray",2013,4544
"Ouray",2014,4582
"Ouray",2015,4647
"Ouray",2016,4844
"Ouray",2017,268764
"Ouray",2018,268764
"Ouray",2019,268764
"Park",2010,16262
"Park",2011,16096
"Park",2012,16052
"Park",2013,16188
"Park",2014,16356
"Park",2015,16716
"Park",2016,17285
"Park",2017,268764
"Park",2018,268764
"Park",2019,268764
"Phillips",2010,4465
"Phillips",2011,4373
"Phillips",2012,4384
"Phillips",2013,4359
"Phillips",2014,4379
"Phillips",2015,4307
"Phillips",2016,4285
"Phillips",2017,268764
"Phillips",2018,268764
"Phillips",2019,268764
"Pitkin",2010,17156
"Pitkin",2011,17125
"Pitkin",2012,17222
"Pitkin",2013,17390
"Pitkin",2014,17623
"Pitkin",2015,17845
"Pitkin",2016,17773
"Pitkin",2017,268764
"Pitkin",2018,268764
"Pitkin",2019,268764
"Prowers",2010,12531
"Prowers",2011,12467
"Prowers",2012,12380
"Prowers",2013,12271
"Prowers",2014,12023
"Prowers",2015,11905
"Prowers",2016,11841
"Prowers",2017,268764
"Prowers",2018,268764
"Prowers",2019,268764
"Pueblo",2010,159496
"Pueblo",2011,160157
"Pueblo",2012,160759
"Pueblo",2013,161085
"Pueblo",2014,161618
"Pueblo",2015,163196
"Pueblo",2016,165109
"Pueblo",2017,268764
"Pueblo",2018,268764
"Pueblo",2019,268764
"Rio Blanco",2010,6617
"Rio Blanco",2011,6696
"Rio Blanco",2012,6774
"Rio Blanco",2013,6722
"Rio Blanco",2014,6626
"Rio Blanco",2015,6529
"Rio Blanco",2016,6497
"Rio Blanco",2017,268764
"Rio Blanco",2018,268764
"Rio Blanco",2019,268764
"Rio Grande",2010,12001
"Rio Grande",2011,11905
"Rio Grande",2012,11865
"Rio Grande",2013,11696
"Rio Grande",2014,11542
"Rio Grande",2015,11413
"Rio Grande",2016,11424
"Rio Grande",2017,268764
"Rio Grande",2018,268764
"Rio Grande",2019,268764
"Routt",2010,23439
"Routt",2011,23237
"Routt",2012,23257
"Routt",2013,23550
"Routt",2014,24010
"Routt",2015,24310
"Routt",2016,24679
"Routt",2017,268764
"Routt",2018,268764
"Routt",2019,268764
"Saguache",2010,6144
"Saguache",2011,6184
"Saguache",2012,6316
"Saguache",2013,6221
"Saguache",2014,6171
"Saguache",2015,6219
"Saguache",2016,6404
"Saguache",2017,268764
"Saguache",2018,268764
"Saguache",2019,268764
"San Juan",2010,709
"San Juan",2011,693
"San Juan",2012,692
"San Juan",2013,700
"San Juan",2014,719
"San Juan",2015,696
"San Juan",2016,698
"San Juan",2017,268764
"San Juan",2018,268764
"San Juan",2019,268764
"San Miguel",2010,7356
"San Miguel",2011,7477
"San Miguel",2012,7570
"San Miguel",2013,7629
"San Miguel",2014,7751
"San Miguel",2015,7843
"San Miguel",2016,8000
"San Miguel",2017,268764
"San Miguel",2018,268764
"San Miguel",2019,268764
"Sedgwick",2010,2367
"Sedgwick",2011,2367
"Sedgwick",2012,2370
"Sedgwick",2013,2343
"Sedgwick",2014,2331
"Sedgwick",2015,2389
"Sedgwick",2016,2421
"Sedgwick",2017,268764
"Sedgwick",2018,268764
"Sedgwick",2019,268764
"Summit",2010,28073
"Summit",2011,27954
"Summit",2012,28213
"Summit",2013,28660
"Summit",2014,29213
"Summit",2015,29928
"Summit",2016,30367
"Summit",2017,268764
"Summit",2018,268764
"Summit",2019,268764
"Teller",2010,23441
"Teller",2011,23294
"Teller",2012,23349
"Teller",2013,23271
"Teller",2014,23402
"Teller",2015,23431
"Teller",2016,24154
"Teller",2017,268764
"Teller",2018,268764
"Teller",2019,268764
"Washington",2010,4815
"Washington",2011,4789
"Washington",2012,4716
"Washington",2013,4765
"Washington",2014,4772
"Washington",2015,4834
"Washington",2016,4875
"Washington",2017,268764
"Washington",2018,268764
"Washington",2019,268764
"Weld",2010,254230
"Weld",2011,258551
"Weld",2012,263924
"Weld",2013,269981
"Weld",2014,275845
"Weld",2015,284571
"Weld",2016,294397
"Weld",2017,268764
"Weld",2018,268764
"Weld",2019,268764
"Yuma",2010,10032
"Yuma",2011,10118
"Yuma",2012,10082
"Yuma",2013,10157
"Yuma",2014,10178
"Yuma",2015,10052
"Yuma",2016,10082
"Yuma",2017,268764
"Yuma",2018,268764
"Yuma",2019,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
NULL,NULL,268764
