county,dateyear,totalpopulation,total_housing_units
Montezuma County,2002,24109,10861
Montezuma County,2003,24378,11014
Montezuma County,2004,24607,11162
Montezuma County,2005,24603,11323
Montezuma County,2006,25017,11507
Montezuma County,2007,25177,11691
Montezuma County,2008,25200,11861
Montezuma County,2009,25365,11994
Montezuma County,2010,25532,12098
Montezuma County,2011,25463,12109
Montezuma County,2012,25441,12117
Montezuma County,2013,25660,12126
Montezuma County,2014,25806,12135
Montezuma County,2015,26129,12196
Montezuma County,2016,26906,12225
Montrose County,1985,24389,10891
Montrose County,1986,23833,11040
Montrose County,1987,23822,11163
Montrose County,1988,24087,11251
Montrose County,1989,24281,11340
Montrose County,1990,24539,10353
Montrose County,1991,25275,10457
Montrose County,1992,26223,10584
Montrose County,1993,27287,10766
Montrose County,1994,28502,11023
Montrose County,1995,29670,11387
Montrose County,1996,30487,11645
Montrose County,1997,31252,11869
Montrose County,1998,31837,12082
Montrose County,1999,32748,12393
Montrose County,2000,33577,14292
Montrose County,2001,34442,14563
Montrose County,2002,34926,14924
Montrose County,2003,35640,15407
Montrose County,2004,36131,15783
Montrose County,2005,36997,16217
Montrose County,2006,37968,16877
Montrose County,2007,39131,17478
Montrose County,2008,39952,17877
Montrose County,2009,40680,18083
Montrose County,2010,41188,18280
Montrose County,2011,40894,18353
Montrose County,2012,40691,18425
Montrose County,2013,40674,18479
Montrose County,2014,40769,18541
Montrose County,2015,40795,18627
Montrose County,2016,41421,18745
Morgan County,1985,22431,9588
Morgan County,1986,21508,9622
Morgan County,1987,21678,9701
Morgan County,1988,21831,9722
Morgan County,1989,21895,9975
Morgan County,1990,22056,9230
Morgan County,1991,22703,9239
Morgan County,1992,23482,9267
Morgan County,1993,24241,9322
Morgan County,1994,25088,9373
Morgan County,1995,25362,9564
Morgan County,1996,26042,9690
Morgan County,1997,26647,9805
Morgan County,1998,26662,9932
Morgan County,1999,26953,10118
Morgan County,2000,27251,10440
Morgan County,2001,27475,10569
Morgan County,2002,27662,10679
Morgan County,2003,27855,10825
Morgan County,2004,27912,10964
Morgan County,2005,27947,11117
Morgan County,2006,27983,11262
Morgan County,2007,27848,11360
Morgan County,2008,27746,11430
Morgan County,2009,28026,11463
Morgan County,2010,28196,11495
Morgan County,2011,28434,11503
Morgan County,2012,28241,11525
Morgan County,2013,28219,11559
Morgan County,2014,28127,11596
Morgan County,2015,28230,11644
Morgan County,2016,28148,11645
Otero County,1985,21760,9181
Otero County,1986,21457,9256
Otero County,1987,20914,9312
Otero County,1988,20845,9324
Otero County,1989,20468,9322
Otero County,1990,20210,8739
Otero County,1991,20373,8741
Otero County,1992,20294,8750
Otero County,1993,20435,8768
Otero County,1994,20490,8771
Otero County,1995,20695,8775
Otero County,1996,20747,8826
Otero County,1997,20767,8855
Otero County,1998,20516,8895
Otero County,1999,20399,8927
Otero County,2000,20243,8821
Otero County,2001,19900,8852
Otero County,2002,19624,8875
Otero County,2003,19667,8886
Otero County,2004,19561,8920
Otero County,2005,19370,8931
Otero County,2006,19193,8933
Otero County,2007,18937,8945
Otero County,2008,18853,8971
Otero County,2009,18844,8973
Otero County,2010,18838,8970
Otero County,2011,18831,8973
Otero County,2012,18660,8976
Otero County,2013,18505,8976
Otero County,2014,18398,8980
Otero County,2015,18265,8982
Otero County,2016,18290,8986
Ouray County,1985,2130,1496
Ouray County,1986,1999,1508
Ouray County,1987,2151,1536
Ouray County,1988,2219,1565
Ouray County,1989,2262,1613
Ouray County,1990,2315,1507
Ouray County,1991,2419,1539
Ouray County,1992,2535,1576
Ouray County,1993,2653,1642
Ouray County,1994,2902,1712
Ouray County,1995,3085,1802
Ouray County,1996,3252,1898
Ouray County,1997,3322,2006
Ouray County,1998,3453,2064
Ouray County,1999,3618,2131
Ouray County,2000,3775,2162
Ouray County,2001,3809,2233
Ouray County,2002,3903,2328
Ouray County,2003,3905,2431
Ouray County,2004,4023,2566
Ouray County,2005,4084,2688
Ouray County,2006,4137,2852
Ouray County,2007,4274,2958
Ouray County,2008,4407,3036
Ouray County,2009,4372,3066
Ouray County,2010,4446,3088
Ouray County,2011,4422,3104
Ouray County,2012,4510,3122
Ouray County,2013,4544,3144
Ouray County,2014,4582,3162
Ouray County,2015,4647,3184
Ouray County,2016,4844,3215
Park County,1985,6601,6600
Park County,1986,6860,6826
Park County,1987,6937,7007
Park County,1988,6893,7145
Park County,1989,7054,7163
Park County,1990,7269,7247
Park County,1991,7700,7371
Park County,1992,8092,7468
Park County,1993,8581,7650
Park County,1994,9526,7948
Park County,1995,10577,8374
Park County,1996,11377,8826
Park County,1997,12362,9294
Park County,1998,13065,9740
Park County,1999,13900,10085
Park County,2000,14729,10810
Park County,2001,15172,11265
Park County,2002,15417,11679
Park County,2003,15789,12054
Park County,2004,15913,12384
Park County,2005,16061,12739
Park County,2006,16128,13063
Park County,2007,16336,13412
Park County,2008,16278,13684
Park County,2009,15971,13833
Park County,2010,16262,13973
Park County,2011,16096,14065
Park County,2012,16052,14137
Park County,2013,16188,14169
Park County,2014,16356,14224
Park County,2015,16716,14311
Park County,2016,17285,14432
Phillips County,1985,4421,2118
Phillips County,1986,4445,2131
Phillips County,1987,4411,2147
Phillips County,1988,4332,2153
Phillips County,1989,4249,2114
Phillips County,1990,4188,1960
Phillips County,1991,4209,1966
Phillips County,1992,4231,1968
Phillips County,1993,4378,1975
Phillips County,1994,4401,1982
Phillips County,1995,4479,1988
Phillips County,1996,4504,1996
Phillips County,1997,4574,2011
Phillips County,1998,4570,2030
Phillips County,1999,4518,2044
Phillips County,2000,4452,2016
Phillips County,2001,4487,2023
Phillips County,2002,4496,2035
Phillips County,2003,4477,2042
Phillips County,2004,4580,2049
Phillips County,2005,4548,2059
Phillips County,2006,4504,2067
Phillips County,2007,4484,2073
Phillips County,2008,4451,2077
Phillips County,2009,4454,2083
Phillips County,2010,4465,2089
Phillips County,2011,4373,2092
Phillips County,2012,4384,2093
Phillips County,2013,4359,2106
Phillips County,2014,4379,2111
Phillips County,2015,4307,2120
Phillips County,2016,4285,2127
Pitkin County,1985,11316,9432
Pitkin County,1986,11968,9468
Pitkin County,1987,12042,9553
Pitkin County,1988,12092,9657
Pitkin County,1989,12415,9762
Pitkin County,1990,12691,9837
Pitkin County,1991,12982,9990
Pitkin County,1992,13371,10076
Pitkin County,1993,14061,10183
Pitkin County,1994,14539,10321
Pitkin County,1995,14652,10513
Pitkin County,1996,14553,10605
Pitkin County,1997,14787,10785
Pitkin County,1998,14781,11165
Pitkin County,1999,14833,11339
Pitkin County,2000,15764,11901
Pitkin County,2001,16184,12117
Pitkin County,2002,16101,12166
Pitkin County,2003,16275,12229
Pitkin County,2004,16077,12272
Pitkin County,2005,16136,12356
Pitkin County,2006,16087,12485
Pitkin County,2007,16236,12653
Pitkin County,2008,16673,12920
Pitkin County,2009,17053,12979
Pitkin County,2010,17156,12960
Pitkin County,2011,17125,12994
Pitkin County,2012,17222,13017
Pitkin County,2013,17390,13036
Pitkin County,2014,17623,13292
Pitkin County,2015,17845,13512
Pitkin County,2016,17773,13670
Prowers County,1985,14374,6097
Prowers County,1986,14128,6133
Prowers County,1987,13986,6183
Prowers County,1988,14231,6188
Prowers County,1989,13719,6180
Prowers County,1990,13237,5855
Prowers County,1991,12958,5854
Prowers County,1992,13105,5852
Prowers County,1993,13422,5848
Prowers County,1994,13686,5848
Prowers County,1995,13823,5855
Prowers County,1996,14002,5866
Prowers County,1997,14117,5947
Prowers County,1998,14224,6005
Prowers County,1999,14372,6059
Prowers County,2000,14453,5980
Prowers County,2001,14109,5987
Prowers County,2002,14011,5986
Prowers County,2003,13822,6000
Prowers County,2004,13656,5997
Prowers County,2005,13510,5994
Prowers County,2006,13208,5997
Prowers County,2007,12772,5958
Prowers County,2008,12682,5951
Prowers County,2009,12576,5948
Prowers County,2010,12531,5942
Prowers County,2011,12467,5945
Prowers County,2012,12380,5951
Prowers County,2013,12271,5956
Prowers County,2014,12023,5956
Prowers County,2015,11905,5950
Prowers County,2016,11841,5945
Pueblo County,1985,121907,51045
Pueblo County,1986,122365,51414
Pueblo County,1987,122838,51775
Pueblo County,1988,123737,52116
Pueblo County,1989,123363,52635
Pueblo County,1990,122878,50872
Pueblo County,1991,123486,51039
Pueblo County,1992,124410,51199
Pueblo County,1993,126348,51544
Pueblo County,1994,128722,51949
Pueblo County,1995,130832,52292
Pueblo County,1996,132498,53330
Pueblo County,1997,134794,54717
Pueblo County,1998,137381,56103
Pueblo County,1999,139718,57454
Pueblo County,2000,141854,59196
Pueblo County,2001,143996,60453
Pueblo County,2002,146481,61792
Pueblo County,2003,147972,63222
Pueblo County,2004,148720,64483
Pueblo County,2005,149969,65740
Pueblo County,2006,152064,66899
Pueblo County,2007,154759,68087
Pueblo County,2008,156252,68803
Pueblo County,2009,157324,69140
Pueblo County,2010,159496,69615
Pueblo County,2011,160157,69872
Pueblo County,2012,160759,69986
Pueblo County,2013,161085,70247
Pueblo County,2014,161618,70406
Pueblo County,2015,163196,70509
Pueblo County,2016,165109,70701
Rio Blanco County,1985,6590,3019
Rio Blanco County,1986,6440,3024
Rio Blanco County,1987,6428,3052
Rio Blanco County,1988,6299,3066
Rio Blanco County,1989,6111,3027
Rio Blanco County,1990,6061,2803
Rio Blanco County,1991,6027,2811
Rio Blanco County,1992,6180,2809
Rio Blanco County,1993,6259,2830
Rio Blanco County,1994,6314,2852
Rio Blanco County,1995,6403,2867
Rio Blanco County,1996,6341,2884
Rio Blanco County,1997,6322,2898
Rio Blanco County,1998,6232,2914
Rio Blanco County,1999,6091,2929
Rio Blanco County,2000,5969,2859
Rio Blanco County,2001,5880,2887
Rio Blanco County,2002,5936,2919
Rio Blanco County,2003,5855,2952
Rio Blanco County,2004,5904,3004
Rio Blanco County,2005,5818,3052
Rio Blanco County,2006,5981,3106
Rio Blanco County,2007,6093,3171
Rio Blanco County,2008,6160,3253
Rio Blanco County,2009,6317,3292
Rio Blanco County,2010,6617,3315
Rio Blanco County,2011,6696,3323
Rio Blanco County,2012,6774,3330
Rio Blanco County,2013,6722,3340
Rio Blanco County,2014,6626,3351
Rio Blanco County,2015,6529,3356
Rio Blanco County,2016,6497,3414
Rio Grande County,1985,11546,4879
Rio Grande County,1986,11906,4910
Rio Grande County,1987,11758,4949
Rio Grande County,1988,11578,4957
Rio Grande County,1989,11109,4975
Rio Grande County,1990,10768,5277
Rio Grande County,1991,10835,5274
Rio Grande County,1992,10940,5303
Rio Grande County,1993,11211,5321
Rio Grande County,1994,11461,5351
Rio Grande County,1995,11698,5357
Rio Grande County,1996,11820,5470
Rio Grande County,1997,11966,5602
Rio Grande County,1998,12123,5718
Rio Grande County,1999,12289,5815
Rio Grande County,2000,12429,6026
Rio Grande County,2001,12406,6117
Rio Grande County,2002,12409,6195
Rio Grande County,2003,12619,6265
Rio Grande County,2004,12824,6332
Rio Grande County,2005,12696,6439
Rio Grande County,2006,12439,6496
Rio Grande County,2007,12167,6568
Rio Grande County,2008,12105,6614
Rio Grande County,2009,11995,6635
Rio Grande County,2010,12001,6633
Rio Grande County,2011,11905,6651
Rio Grande County,2012,11865,6663
Rio Grande County,2013,11696,6675
Rio Grande County,2014,11542,6686
Rio Grande County,2015,11413,6698
Rio Grande County,2016,11424,6712
Routt County,1985,14196,9111
Routt County,1986,13863,9165
Routt County,1987,13862,9186
Routt County,1988,13765,9292
Routt County,1989,13950,9291
Routt County,1990,14172,9252
Routt County,1991,14731,9439
Routt County,1992,15149,9569
Routt County,1993,15924,9792
Routt County,1994,16617,10079
Routt County,1995,17254,10527
Routt County,1996,17718,10970
Routt County,1997,18117,11316
Routt County,1998,18606,11616
Routt County,1999,19224,12130
Routt County,2000,20123,12063
Routt County,2001,20436,12534
Routt County,2002,20892,12939
Routt County,2003,21128,13137
Routt County,2004,21293,13443
Routt County,2005,21453,13856
Routt County,2006,21886,14429
Routt County,2007,22415,14838
Routt County,2008,22931,15517
Routt County,2009,23325,16143
Routt County,2010,23439,16321
Routt County,2011,23237,16349
Routt County,2012,23257,16385
Routt County,2013,23550,16413
Routt County,2014,24010,16469
Routt County,2015,24310,16593
Routt County,2016,24679,16689
Saguache County,1985,4400,2067
Saguache County,1986,4598,2071
Saguache County,1987,4785,2075
Saguache County,1988,4663,2079
Saguache County,1989,4639,2284
Saguache County,1990,4644,2306
Saguache County,1991,4732,2306
Saguache County,1992,4788,2306
Saguache County,1993,4826,2326
Saguache County,1994,4942,2327
Saguache County,1995,5270,2396
Saguache County,1996,5425,2444
Saguache County,1997,5492,2511
Saguache County,1998,5558,2647
Saguache County,1999,5765,2752
Saguache County,2000,5983,3118
Saguache County,2001,6083,3244
Saguache County,2002,6245,3342
Saguache County,2003,6279,3411
Saguache County,2004,6240,3493
Saguache County,2005,6284,3590
Saguache County,2006,6241,3659
Saguache County,2007,6159,3736
Saguache County,2008,6176,3791
Saguache County,2009,6126,3820
Saguache County,2010,6144,3854
Saguache County,2011,6184,3890
Saguache County,2012,6316,3914
Saguache County,2013,6221,3941
Saguache County,2014,6171,3975
Saguache County,2015,6219,4007
Saguache County,2016,6404,4036
San Juan County,1985,763,529
San Juan County,1986,754,529
San Juan County,1987,811,528
San Juan County,1988,747,531
San Juan County,1989,746,521
San Juan County,1990,736,481
San Juan County,1991,711,483
San Juan County,1992,574,484
San Juan County,1993,540,488
San Juan County,1994,563,495
San Juan County,1995,571,497
San Juan County,1996,579,503
San Juan County,1997,570,509
San Juan County,1998,555,519
San Juan County,1999,557,606
San Juan County,2000,561,633
San Juan County,2001,566,639
San Juan County,2002,599,650
San Juan County,2003,615,664
San Juan County,2004,635,685
San Juan County,2005,645,706
San Juan County,2006,672,729
San Juan County,2007,686,741
San Juan County,2008,698,746
San Juan County,2009,687,752
San Juan County,2010,709,757
San Juan County,2011,693,758
San Juan County,2012,692,759
San Juan County,2013,700,765
San Juan County,2014,719,765
San Juan County,2015,696,765
San Juan County,2016,698,771
San Miguel County,1985,3189,2103
San Miguel County,1986,3374,2265
San Miguel County,1987,3463,2350
San Miguel County,1988,3557,2395
San Miguel County,1989,3612,2440
San Miguel County,1990,3732,2635
San Miguel County,1991,4130,2771
San Miguel County,1992,4565,2949
San Miguel County,1993,4864,3123
San Miguel County,1994,5305,3343
San Miguel County,1995,5489,3696
San Miguel County,1996,5804,3809
San Miguel County,1997,5953,3961
San Miguel County,1998,6453,4075
San Miguel County,1999,6533,4530
San Miguel County,2000,6615,5231
San Miguel County,2001,6900,5392
San Miguel County,2002,7042,5555
San Miguel County,2003,7010,5690
San Miguel County,2004,7027,5813
San Miguel County,2005,7045,5930
San Miguel County,2006,7059,6157
San Miguel County,2007,7276,6343
San Miguel County,2008,7304,6521
San Miguel County,2009,7267,6583
San Miguel County,2010,7356,6659
San Miguel County,2011,7477,6683
San Miguel County,2012,7570,6690
San Miguel County,2013,7629,6702
San Miguel County,2014,7751,6714
San Miguel County,2015,7843,6794
San Miguel County,2016,8000,6826
Sedgwick County,1985,2991,1519
Sedgwick County,1986,2825,1520
Sedgwick County,1987,2793,1520
Sedgwick County,1988,2794,1521
Sedgwick County,1989,2734,1524
Sedgwick County,1990,2680,1414
Sedgwick County,1991,2670,1416
Sedgwick County,1992,2629,1418
Sedgwick County,1993,2649,1419
Sedgwick County,1994,2664,1421
Sedgwick County,1995,2650,1422
Sedgwick County,1996,2686,1422
Sedgwick County,1997,2731,1424
Sedgwick County,1998,2681,1445
Sedgwick County,1999,2719,1454
Sedgwick County,2000,2744,1389
Sedgwick County,2001,2694,1396
Sedgwick County,2002,2694,1401
Sedgwick County,2003,2715,1402
Sedgwick County,2004,2606,1389
Sedgwick County,2005,2578,1394
Sedgwick County,2006,2515,1399
Sedgwick County,2007,2422,1403
Sedgwick County,2008,2420,1408
Sedgwick County,2009,2376,1411
Sedgwick County,2010,2367,1415
Sedgwick County,2011,2367,1415
Sedgwick County,2012,2370,1415
Sedgwick County,2013,2343,1416
Sedgwick County,2014,2331,1419
Sedgwick County,2015,2389,1420
Sedgwick County,2016,2421,1420
Summit County,1985,12865,14623
Summit County,1986,13274,14708
Summit County,1987,12406,14862
Summit County,1988,12498,14960
Summit County,1989,12718,15115
Summit County,1990,12940,17091
Summit County,1991,13471,17335
Summit County,1992,13840,17533
Summit County,1993,15194,17831
Summit County,1994,17107,18275
Summit County,1995,18270,19500
Summit County,1996,19396,20447
Summit County,1997,20349,21224
Summit County,1998,21281,22211
Summit County,1999,22568,23807
Summit County,2000,25709,27457
Summit County,2001,26293,28741
Summit County,2002,26514,28911
Summit County,2003,26706,29154
Summit County,2004,26707,29282
Summit County,2005,26623,29379
Summit County,2006,26839,29419
Summit County,2007,27163,29536
Summit County,2008,27464,29646
Summit County,2009,27783,29943
Summit County,2010,28073,29861
Summit County,2011,27954,30024
Summit County,2012,28213,30142
Summit County,2013,28660,30274
Summit County,2014,29213,30417
Summit County,2015,29928,30589
Summit County,2016,30367,30608
Teller County,1985,11305,6844
Teller County,1986,11800,7014
Teller County,1987,12458,7309
Teller County,1988,12477,7488
Teller County,1989,12474,7503
Teller County,1990,12511,7565
Teller County,1991,12712,7633
Teller County,1992,13670,7707
Teller County,1993,14735,7896
Teller County,1994,15790,8094
Teller County,1995,16981,8343
Teller County,1996,18135,8607
Teller County,1997,19066,9189
Teller County,1998,19672,9557
Teller County,1999,20179,9858
Teller County,2000,21068,10660
Teller County,2001,21738,11043
Teller County,2002,21989,11285
Teller County,2003,22218,11532
Teller County,2004,22218,11778
Teller County,2005,22505,12104
Teller County,2006,22791,12294
Teller County,2007,23164,12450
Teller County,2008,23102,12583
Teller County,2009,23205,12619
Teller County,2010,23441,12651
Teller County,2011,23294,12668
Teller County,2012,23349,12721
Teller County,2013,23271,12785
Teller County,2014,23402,12942
Teller County,2015,23431,13004
Teller County,2016,24154,13088
Washington County,1985,5396,2555
Washington County,1986,5194,2570
Washington County,1987,5187,2584
Washington County,1988,5142,2591
Washington County,1989,4951,2630
Washington County,1990,4804,2307
Washington County,1991,4783,2310
Washington County,1992,4886,2314
Washington County,1993,5144,2316
Washington County,1994,5221,2319
Washington County,1995,5236,2320
Washington County,1996,5221,2332
Washington County,1997,5210,2341
Washington County,1998,5155,2352
Washington County,1999,5024,2369
Washington County,2000,4936,2312
Washington County,2001,4899,2332
Washington County,2002,5259,2345
Washington County,2003,5140,2364
Washington County,2004,5060,2379
Washington County,2005,4995,2386
Washington County,2006,4981,2394
Washington County,2007,4927,2407
Washington County,2008,4802,2418
Washington County,2009,4777,2427
Washington County,2010,4815,2436
Washington County,2011,4789,2441
Washington County,2012,4716,2442
Washington County,2013,4765,2443
Washington County,2014,4772,2445
Washington County,2015,4834,2450
Washington County,2016,4875,2455
Weld County,1985,130400,50425
Weld County,1986,129749,51309
Weld County,1987,131028,51988
Weld County,1988,131880,52466
Weld County,1989,131867,52759
Weld County,1990,131946,51138
Weld County,1991,135731,51400
Weld County,1992,140122,51756
Weld County,1993,145778,52262
Weld County,1994,151368,53274
Weld County,1995,157173,54432
Weld County,1996,161809,55929
Weld County,1997,166840,57764
Weld County,1998,172394,59950
Weld County,1999,177265,65316
Weld County,2000,183076,67366
Weld County,2001,192482,71809
Weld County,2002,198975,76236
Weld County,2003,207157,80488
Weld County,2004,214069,84557
Weld County,2005,223432,88602
Weld County,2006,231283,92059
Weld County,2007,238279,94523
Weld County,2008,244116,95692
Weld County,2009,248959,96177
Weld County,2010,254230,96454
Weld County,2011,258551,97263
Weld County,2012,263924,98195
Weld County,2013,269981,99450
Weld County,2014,275845,100851
Weld County,2015,284571,103219
Weld County,2016,294397,105720
Yuma County,1985,9853,4343
Yuma County,1986,9583,4339
Yuma County,1987,9434,4336
Yuma County,1988,9564,4343
Yuma County,1989,9211,4300
Yuma County,1990,8947,4082
Yuma County,1991,9011,4083
Yuma County,1992,9001,4084
Yuma County,1993,9166,4092
Yuma County,1994,9276,4100
Yuma County,1995,9455,4108
Yuma County,1996,9521,4121
Yuma County,1997,9657,4140
Yuma County,1998,9799,4150
Yuma County,1999,9823,4250
Yuma County,2000,9815,4301
Yuma County,2001,9831,4329
Yuma County,2002,9947,4353
Yuma County,2003,10093,4372
Yuma County,2004,9885,4392
Yuma County,2005,9892,4406
Yuma County,2006,9917,4417
Yuma County,2007,9881,4435
Yuma County,2008,9895,4446
Yuma County,2009,10036,4457
Yuma County,2010,10032,4466
Yuma County,2011,10118,4471
Yuma County,2012,10082,4477
Yuma County,2013,10157,4480
Yuma County,2014,10178,4487
Yuma County,2015,10052,4499
Yuma County,2016,10082,4500